场号,群号,,标识,,,备注/留言,,,,,,,,如果你的场有图片之类的资源请放在这里,,,,,,,
131,1044596668,,25年新场群,,,欢迎大家进来玩~,,,,,,,,,,,,,,,
132,1047596322,,4.30jjc,,,没人吗没人吗,,,,,,,,,,,,,,,
133,1044603337,,25.4.30 JJC133,,,友好玩，聊天群,,,,,,,,,,,,,,,
134,477492714,,真没人建群？我来,,,,,,,,,,,,,,,,,,
135,1047586837,,135场,,,可以搜了,,,,,,,,,,,,,,,
136,1047589873,,136场,,,欢迎大家进来玩,,,,,,,,,,,,,,,
137,1047584244,,137没人建吗,,,要不你来吧（）,,,,,,,,,,,,,,,
138,1043287812,,138场,,,点击左侧群号直接加群（最速度）,,,,,,,,,,,,,,,
139,879806967,,139,,,,,,,,,,,,,,,,,,
140,1043381493,,有人建群吗,,,,,,,,,,,,,,,,,,
141,1044611167,,没人建群咱来一个吧，141场,,,,,,,,,,,,,,,,,,
142,1047636881,,25年430号j场,,,可以搜了,,,,,,,,,,,,,,,
143,974516184,,4.30 143欢迎友好交流,,,,,,,,,,,,,,,,,,
144,726958682,,144,,,想建群但是在外面玩，重任交于别人了（）,,,,,,,,,,,,,,,
145,1041612000,,欢迎交流,,,,,,,,,,,,,,,,,,
146,1047596295,,4.30 146JJC群,,,群已建，左侧加群无需验证,,,,,,,,,,,,,,,
147,1047523552,,147,,,,,,,,,,,,,,,,,,
148,1047594914,,4.30   148竞技场,,,欢迎聊天进来玩,,,,,,,,,,,,,,,
149,1044607978,,25.4.30 149竞技场,,,没人建就建了一个，欢迎来玩,,,,,,,,,,,,,,,
150,951053112,,竞技场150场,,,通通曹寺！,,,,,,,,,,,,,,,
151,837739792,,竞技场151场,,,,,,,,,,,,,,,,,,
152,1044583455,,新152场欢迎大家）,,,,,,,,,,,,,,,,,,
153,1038694524,,国服PCR4月30日JJC153场,,,柚子批,,,,,,,,,,,,,,,
154,1044071220,,重置154场,,,,,,,,,,,,,,,,,,
155,1044605437,,吉吉西155场,,,欢迎光临,,,,,,,,,,,,,,,
156,1044625163,,来个群号兄弟们,,,,,,,,,,,,,,,,,,
